Transaction_ID,Customer_ID,Age_Group,Gender,City,Product_Category,Units_Sold,Price,Total_Spend,IoT_Feature_Used,Device_Connectivity,Carbon_Footprint_gCO2,Purchase_Date
TX000018,C8895,35-44,Non-binary,Lucknow,IoT Sneakers,1,124.82,124.82,Yes,5G,215.88,17-11-2024
TX000019,C4314,25-34,Prefer not to say,Chennai,IoT Sneakers,1,172.59,172.59,No,NA,431.35,03-02-2022
TX000020,C3760,55+,Male,Ahmedabad,IoT Sneakers,1,133.02,133.02,Yes,5G,253.57,22-04-2024
TX000021,C4391,25-34,Male,Ahmedabad,RFID Apparel,1,88.43,88.43,No,NA,278,10-07-2020
TX000022,C5169,45-54,Female,Lucknow,Smart Jacket,2,255.46,510.92,Yes,5G,439.06,14-08-2024
TX000023,C5207,18-24,Non-binary,Kolkata,AR Glasses,1,580.16,580.16,No,NA,246.59,02-09-2021
TX000024,C4887,25-34,Prefer not to say,Ahmedabad,RFID Apparel,1,75.54,75.54,Yes,5G,73.79,09-01-2024
TX000025,C5332,45-54,Prefer not to say,Delhi,AR Glasses,1,445.15,445.15,Yes,5G,424.44,22-02-2022
TX000026,C7987,45-54,Non-binary,Hyderabad,AR Glasses,1,630.5,630.5,Yes,WiFi,427.06,18-10-2022
TX000027,C7258,18-24,Male,Chennai,AR Glasses,1,579.04,579.04,No,NA,427.22,21-02-2021
TX000028,C8761,45-54,Female,Lucknow,AR Glasses,1,337.6,337.6,Yes,5G,398.4,30-10-2023
TX000029,C7512,18-24,Female,Lucknow,IoT Sneakers,1,172.38,172.38,No,NA,168.51,15-06-2023
TX000030,C3642,55+,Female,Mumbai,Smart Jacket,1,273.71,273.71,Yes,5G,456.97,04-02-2023
TX000031,C2111,18-24,Male,Jaipur,RFID Apparel,1,73.4,73.4,Yes,WiFi,192.82,29-08-2022
TX000032,C2948,18-24,Non-binary,Jaipur,Smartwatch,1,212.75,212.75,Yes,5G,461.18,08-10-2020
TX000033,C9120,25-34,Prefer not to say,Mumbai,RFID Apparel,1,100.78,100.78,No,NA,230.79,02-01-2022
TX000034,C4690,45-54,Male,Mumbai,Smart Jacket,1,313.19,313.19,No,NA,279.22,06-10-2022
TX000035,C8651,45-54,Prefer not to say,Jaipur,Smartwatch,1,272.85,272.85,Yes,WiFi,249.52,11-04-2024
TX000036,C7677,18-24,Prefer not to say,Delhi,Smartwatch,1,289.66,289.66,Yes,WiFi,387.2,15-09-2020
TX000037,C7715,35-44,Male,Delhi,Smart Jacket,1,346.57,346.57,No,NA,303.19,22-07-2021
TX000038,C7330,25-34,Non-binary,Chennai,IoT Sneakers,1,181.11,181.11,No,NA,268.1,29-07-2023
TX000039,C1246,35-44,Male,Hyderabad,RFID Apparel,2,76.57,153.14,No,NA,151.67,20-05-2024
TX000040,C1763,45-54,Female,Jaipur,RFID Apparel,1,99.9,99.9,Yes,NFC,227.92,11-01-2021
TX000041,C3060,25-34,Female,Chennai,AR Glasses,1,482.9,482.9,No,NA,343.47,12-04-2024
TX000042,C1466,25-34,Prefer not to say,Ahmedabad,IoT Sneakers,1,179.51,179.51,No,NA,447.71,19-07-2020
TX000043,C9042,25-34,Prefer not to say,Chennai,Smartwatch,1,169.66,169.66,No,NA,242.5,19-01-2022
TX000044,C9829,35-44,Female,Ahmedabad,RFID Apparel,1,82.57,82.57,Yes,WiFi,93.97,18-08-2022
TX000045,C3995,35-44,Non-binary,Kolkata,Smartwatch,1,246.75,246.75,Yes,Bluetooth,328.13,13-02-2022
TX000046,C3825,45-54,Male,Ahmedabad,Smartwatch,1,219.39,219.39,No,NA,441.96,01-01-2025
TX000047,C2485,45-54,Male,Delhi,AR Glasses,1,555.58,555.58,No,NA,374.2,17-05-2020
TX000048,C4295,55+,Female,Bengaluru,RFID Apparel,1,114.89,114.89,Yes,5G,88.12,22-09-2022
TX000049,C3851,35-44,Female,Jaipur,Smartwatch,1,194.42,194.42,Yes,WiFi,113.39,17-05-2021
TX000050,C1505,35-44,Non-binary,Bengaluru,Smart Hat,1,89.79,89.79,Yes,NFC,260.6,06-07-2022
TX000051,C1833,35-44,Female,Kolkata,AR Glasses,1,618.24,618.24,No,NA,231.5,06-04-2020
TX000052,C2171,35-44,Non-binary,Lucknow,Smartwatch,1,248.37,248.37,No,NA,239.3,10-12-2022
TX000053,C3778,25-34,Female,Chennai,Smartwatch,1,270.6,270.6,No,NA,232.33,17-01-2021
TX000054,C7864,18-24,Non-binary,Delhi,AR Glasses,1,443.46,443.46,No,NA,109.78,20-04-2021
TX000055,C2865,25-34,Female,Mumbai,Smartwatch,1,172.33,172.33,No,NA,374.03,20-03-2021
TX000056,C4027,35-44,Non-binary,Bengaluru,Smart Jacket,1,274.61,274.61,No,NA,208.52,23-06-2025
TX000057,C1723,45-54,Female,Pune,AR Glasses,1,441.36,441.36,No,NA,455.45,03-01-2023
TX000058,C7418,25-34,Prefer not to say,Mumbai,Smartwatch,1,295.97,295.97,Yes,5G,261.23,08-04-2023
TX000059,C1928,55+,Male,Ahmedabad,Smartwatch,1,224.39,224.39,Yes,5G,465.82,08-02-2021
TX000060,C2305,25-34,Prefer not to say,Jaipur,Smartwatch,1,223.95,223.95,No,NA,205.21,30-04-2020
TX000061,C6821,55+,Prefer not to say,Lucknow,AR Glasses,1,503.86,503.86,Yes,NFC,443.4,19-02-2021
TX000062,C3717,45-54,Prefer not to say,Delhi,RFID Apparel,1,111.79,111.79,Yes,NFC,119.49,17-01-2020
TX000063,C6516,55+,Non-binary,Jaipur,Smart Hat,1,56.75,56.75,No,NA,296.36,29-01-2020
TX000064,C3882,25-34,Non-binary,Pune,AR Glasses,1,594.15,594.15,No,NA,100.37,28-02-2025
TX000065,C5695,35-44,Male,Mumbai,RFID Apparel,1,106.35,106.35,No,NA,148.51,17-10-2024
TX000066,C8270,18-24,Prefer not to say,Hyderabad,Smart Jacket,2,337.77,675.54,Yes,NFC,437.83,06-12-2024
TX000067,C6248,18-24,Prefer not to say,Mumbai,Smartwatch,1,201.38,201.38,No,NA,219.5,02-08-2024
TX000068,C7398,45-54,Prefer not to say,Delhi,Smartwatch,1,264.88,264.88,Yes,NFC,150.57,02-02-2025
TX000069,C6722,18-24,Prefer not to say,Lucknow,Smart Jacket,1,390.16,390.16,Yes,NFC,273.01,03-04-2020
TX000070,C5233,25-34,Female,Bengaluru,RFID Apparel,1,75.92,75.92,Yes,Bluetooth,96.98,17-02-2025
TX000071,C5029,45-54,Non-binary,Jaipur,Smartwatch,1,236.4,236.4,No,NA,410.2,06-03-2020
TX000072,C2303,18-24,Prefer not to say,Bengaluru,RFID Apparel,2,87.2,174.4,Yes,5G,246.66,18-05-2020
TX000073,C3395,18-24,Prefer not to say,Jaipur,Smartwatch,1,310.66,310.66,No,NA,436.63,07-12-2021
TX000074,C5276,55+,Prefer not to say,Hyderabad,Smart Jacket,1,275.49,275.49,No,NA,253.63,03-08-2022
TX000075,C7195,55+,Prefer not to say,Hyderabad,Smart Jacket,1,296.45,296.45,Yes,WiFi,437.74,16-08-2023
TX000076,C4840,45-54,Male,Lucknow,RFID Apparel,1,76.52,76.52,Yes,Bluetooth,77.51,09-07-2021
TX000077,C6109,25-34,Non-binary,Lucknow,RFID Apparel,1,95.39,95.39,No,NA,116.99,14-06-2025
TX000078,C2584,25-34,Prefer not to say,Kolkata,Smart Jacket,1,299.45,299.45,Yes,NFC,100.86,21-08-2024
TX000079,C6457,35-44,Male,Ahmedabad,Smartwatch,1,272.47,272.47,No,NA,425.92,25-12-2020
TX000080,C1700,25-34,Non-binary,Ahmedabad,IoT Sneakers,1,222.73,222.73,No,NA,335.23,21-04-2020
TX000081,C9473,25-34,Female,Delhi,RFID Apparel,1,116.45,116.45,Yes,5G,188.6,03-10-2020
TX000082,C8690,35-44,Female,Jaipur,IoT Sneakers,1,165.57,165.57,No,NA,490.26,13-05-2020
TX000083,C6125,25-34,Non-binary,Hyderabad,Smartwatch,1,238.52,238.52,Yes,WiFi,403.39,01-09-2020
TX000084,C1549,55+,Male,Hyderabad,Smartwatch,1,191.9,191.9,Yes,WiFi,377.27,26-08-2024
TX000085,C1014,25-34,Female,Lucknow,Smartwatch,1,171.33,171.33,No,NA,183.73,30-09-2021
TX000086,C2368,18-24,Non-binary,Pune,IoT Sneakers,1,149.11,149.11,No,NA,386.51,07-04-2025
TX000087,C5963,45-54,Female,Ahmedabad,RFID Apparel,1,101.09,101.09,No,NA,220.66,11-08-2020
TX000088,C9754,55+,Non-binary,Kolkata,AR Glasses,1,417.76,417.76,Yes,5G,393.68,07-12-2023
TX000089,C3567,35-44,Female,Pune,Smartwatch,2,227.85,455.7,No,NA,395.88,13-11-2023
TX000090,C5317,18-24,Male,Lucknow,Smartwatch,1,275.64,275.64,Yes,5G,156.26,03-02-2022
TX000091,C3586,25-34,Non-binary,Pune,IoT Sneakers,1,120.99,120.99,Yes,Bluetooth,356.36,27-03-2021
TX000092,C1707,35-44,Non-binary,Chennai,IoT Sneakers,1,132.69,132.69,Yes,5G,174.37,22-05-2022
TX000093,C8106,18-24,Female,Jaipur,Smartwatch,1,163.68,163.68,Yes,Bluetooth,294.44,24-11-2023
TX000094,C1686,55+,Female,Chennai,Smart Hat,1,49.42,49.42,No,NA,438.31,28-08-2020
TX000095,C8434,18-24,Male,Jaipur,RFID Apparel,2,77.17,154.34,Yes,Bluetooth,68.95,04-08-2023
TX000096,C6867,55+,Male,Kolkata,Smartwatch,2,223.58,447.16,Yes,WiFi,137.03,20-03-2025
TX000097,C2909,45-54,Prefer not to say,Hyderabad,RFID Apparel,1,81.24,81.24,Yes,NFC,259.32,29-03-2025
TX000098,C2828,25-34,Female,Hyderabad,Smartwatch,1,262.97,262.97,Yes,WiFi,419.53,04-10-2021
TX000099,C5827,35-44,Prefer not to say,Kolkata,Smart Jacket,1,388.39,388.39,Yes,5G,416.84,15-06-2020
TX000100,C3502,18-24,Prefer not to say,Lucknow,IoT Sneakers,1,137.55,137.55,Yes,5G,385.3,25-03-2021
TX000101,C1833,55+,Non-binary,Bengaluru,AR Glasses,1,548.22,548.22,Yes,Bluetooth,142.53,21-02-2020
TX000102,C7588,55+,Male,Chennai,Smart Jacket,2,429.28,858.56,Yes,5G,474.93,24-08-2021
TX000103,C2311,18-24,Female,Bengaluru,AR Glasses,1,403.55,403.55,No,NA,295.34,28-09-2020
TX000104,C6406,35-44,Female,Kolkata,IoT Sneakers,1,225.03,225.03,No,NA,125.09,20-01-2022
TX000105,C9607,18-24,Prefer not to say,Delhi,IoT Sneakers,1,129.97,129.97,Yes,5G,218.94,01-12-2021
TX000106,C8292,25-34,Male,Mumbai,Smartwatch,1,314.96,314.96,No,NA,393.02,28-08-2023
TX000107,C5256,45-54,Male,Jaipur,Smart Jacket,1,404.91,404.91,No,NA,446.4,30-10-2022
TX000108,C1356,35-44,Non-binary,Pune,Smartwatch,1,204.57,204.57,No,NA,296.05,18-07-2023
TX000109,C5180,55+,Non-binary,Delhi,Smart Hat,1,63.57,63.57,Yes,5G,150.39,29-01-2021
TX000110,C1369,45-54,Non-binary,Pune,AR Glasses,1,612.4,612.4,Yes,WiFi,419.37,18-09-2022
TX000111,C6895,25-34,Male,Mumbai,IoT Sneakers,1,229.69,229.69,Yes,WiFi,325.15,27-01-2023
TX000112,C9208,45-54,Female,Lucknow,Smartwatch,1,314.75,314.75,No,NA,393.01,26-07-2022
TX000113,C2335,35-44,Prefer not to say,Lucknow,Smartwatch,1,305.47,305.47,Yes,Bluetooth,352.7,17-02-2022
TX000114,C6429,35-44,Prefer not to say,Pune,AR Glasses,1,550.07,550.07,Yes,WiFi,207.98,28-08-2021
TX000115,C4853,55+,Female,Lucknow,Smart Jacket,1,434.66,434.66,No,NA,424.85,29-01-2020
TX000116,C1663,35-44,Male,Lucknow,Smartwatch,1,286.02,286.02,No,NA,204.14,25-05-2024
TX000117,C7327,35-44,Male,Lucknow,AR Glasses,1,519.79,519.79,Yes,WiFi,377.5,21-08-2024
TX000118,C7235,25-34,Non-binary,Hyderabad,RFID Apparel,1,119.65,119.65,Yes,NFC,120.69,13-09-2022
TX000119,C7918,25-34,Female,Kolkata,IoT Sneakers,1,216.63,216.63,Yes,WiFi,219.65,30-11-2023
TX000120,C6623,35-44,Female,Delhi,Smartwatch,1,179.08,179.08,No,NA,180.45,22-09-2024
TX000121,C2881,25-34,Male,Kolkata,Smartwatch,1,311.01,311.01,Yes,NFC,475.03,30-09-2021
TX000122,C7376,45-54,Male,Kolkata,IoT Sneakers,1,195.53,195.53,Yes,Bluetooth,313.96,09-02-2020
TX000123,C4057,25-34,Prefer not to say,Hyderabad,AR Glasses,1,612.38,612.38,No,NA,367.59,20-03-2021
TX000124,C1817,35-44,Female,Pune,IoT Sneakers,1,207.61,207.61,Yes,Bluetooth,289.33,02-04-2022
TX000125,C3736,25-34,Female,Bengaluru,Smart Jacket,2,306.01,612.02,Yes,NFC,317.4,21-03-2024
TX000126,C1595,25-34,Female,Pune,Smartwatch,1,159.94,159.94,Yes,NFC,460.6,14-03-2022
TX000127,C1215,35-44,Non-binary,Ahmedabad,RFID Apparel,1,108.13,108.13,No,NA,275.57,22-10-2021
TX000128,C7922,45-54,Prefer not to say,Jaipur,Smartwatch,1,227.23,227.23,Yes,5G,383.26,30-10-2022
TX000129,C6103,25-34,Prefer not to say,Bengaluru,Smartwatch,1,249.59,249.59,No,NA,126.92,24-05-2025
TX000130,C3516,55+,Female,Bengaluru,RFID Apparel,1,122.36,122.36,No,NA,246.98,09-03-2021
TX000131,C5918,25-34,Female,Pune,Smart Jacket,1,468.07,468.07,No,NA,227.05,26-05-2024
TX000132,C3745,18-24,Female,Pune,Smartwatch,1,239.52,239.52,No,NA,222.13,28-01-2020
TX000133,C5422,45-54,Female,Jaipur,Smart Jacket,1,453.92,453.92,No,NA,379.36,09-07-2024
TX000134,C7772,55+,Prefer not to say,Hyderabad,IoT Sneakers,1,172.79,172.79,No,NA,93.63,20-07-2024
TX000135,C5368,45-54,Male,Hyderabad,RFID Apparel,1,103.66,103.66,No,NA,190.34,21-02-2021
TX000136,C7984,35-44,Prefer not to say,Bengaluru,RFID Apparel,1,98.76,98.76,Yes,Bluetooth,163.98,06-04-2024
TX000137,C1924,25-34,Prefer not to say,Mumbai,Smart Jacket,1,249.39,249.39,No,NA,130.84,04-02-2023
TX000138,C7192,45-54,Male,Mumbai,RFID Apparel,1,98.32,98.32,Yes,NFC,149.31,22-05-2020
TX000139,C8447,45-54,Prefer not to say,Bengaluru,RFID Apparel,1,120.59,120.59,Yes,Bluetooth,93.73,03-01-2023
TX000140,C6039,25-34,Non-binary,Jaipur,Smartwatch,1,312.74,312.74,No,NA,179.99,06-03-2021
TX000141,C2126,18-24,Male,Chennai,Smartwatch,1,224.55,224.55,No,NA,311.12,14-03-2021
TX000142,C7087,55+,Male,Pune,Smart Jacket,1,329.71,329.71,Yes,Bluetooth,124.17,18-02-2020
TX000143,C6412,35-44,Female,Chennai,IoT Sneakers,1,190.56,190.56,No,NA,411.73,20-11-2023
TX000144,C5992,18-24,Female,Ahmedabad,IoT Sneakers,1,207.48,207.48,Yes,5G,153.64,01-03-2024
TX000145,C3046,25-34,Female,Kolkata,AR Glasses,1,502.89,502.89,No,NA,189.87,07-06-2022
TX000146,C7440,35-44,Male,Bengaluru,RFID Apparel,1,79.74,79.74,No,NA,228.78,03-06-2024
TX000147,C1387,55+,Non-binary,Chennai,RFID Apparel,1,120.15,120.15,No,NA,198.93,04-02-2021
TX000148,C3656,45-54,Male,Chennai,Smart Jacket,1,414.62,414.62,Yes,Bluetooth,263.67,29-04-2023
TX000149,C9727,35-44,Male,Lucknow,IoT Sneakers,1,227.3,227.3,Yes,Bluetooth,331.04,05-10-2024
TX000150,C1952,45-54,Prefer not to say,Mumbai,Smart Jacket,1,290.04,290.04,No,NA,489.05,11-04-2020
TX000151,C4753,55+,Male,Jaipur,Smart Jacket,1,242.15,242.15,No,NA,215.97,05-01-2025
TX000152,C7337,35-44,Male,Ahmedabad,RFID Apparel,1,103.87,103.87,Yes,NFC,178.74,30-04-2022
TX000153,C5608,55+,Female,Lucknow,Smartwatch,1,259.04,259.04,Yes,Bluetooth,180.79,28-08-2024
TX000154,C7797,55+,Female,Jaipur,AR Glasses,1,509.77,509.77,Yes,Bluetooth,254.65,31-08-2021
TX000155,C4900,55+,Female,Jaipur,Smart Jacket,1,253,253,No,NA,322.51,15-07-2022
TX000156,C3475,35-44,Male,Pune,Smartwatch,1,287.13,287.13,Yes,WiFi,378.18,09-12-2020
TX000157,C4835,45-54,Prefer not to say,Pune,RFID Apparel,1,113.72,113.72,No,NA,255.87,07-11-2022
TX000158,C9692,18-24,Female,Mumbai,IoT Sneakers,1,235.92,235.92,No,NA,112.39,26-04-2024
TX000159,C4702,45-54,Male,Mumbai,Smartwatch,1,211.04,211.04,No,NA,358.49,13-01-2022
TX000160,C8665,45-54,Female,Hyderabad,Smartwatch,2,251,502,No,NA,139.01,04-10-2020
TX000161,C6916,25-34,Male,Ahmedabad,IoT Sneakers,1,156.64,156.64,No,NA,234.1,07-01-2023
TX000162,C4907,55+,Male,Mumbai,Smartwatch,1,271.13,271.13,No,NA,147.16,17-05-2024
TX000163,C2776,18-24,Non-binary,Bengaluru,IoT Sneakers,1,122.64,122.64,Yes,5G,319.96,29-06-2024
TX000164,C9152,25-34,Non-binary,Lucknow,RFID Apparel,1,85.64,85.64,No,NA,292.42,02-04-2020
TX000165,C1448,35-44,Female,Bengaluru,AR Glasses,1,589.78,589.78,No,NA,148.03,24-08-2022
TX000166,C9955,18-24,Female,Chennai,Smartwatch,1,245.99,245.99,No,NA,325.35,11-03-2021
TX000167,C1740,18-24,Prefer not to say,Hyderabad,RFID Apparel,1,90.51,90.51,No,NA,112.27,06-08-2024
TX000168,C2673,55+,Prefer not to say,Delhi,Smartwatch,1,209.72,209.72,Yes,5G,416.12,15-03-2024
TX000169,C7187,35-44,Male,Chennai,Smart Jacket,1,310.38,310.38,Yes,NFC,180.23,20-06-2025
TX000170,C7588,35-44,Prefer not to say,Pune,AR Glasses,1,558.79,558.79,Yes,5G,144.08,14-09-2022
TX000171,C1202,25-34,Female,Pune,Smart Jacket,1,310.56,310.56,Yes,WiFi,226.56,16-09-2024
TX000172,C2977,35-44,Prefer not to say,Chennai,Smartwatch,1,244.46,244.46,No,NA,118.68,19-05-2021
TX000173,C7765,45-54,Male,Ahmedabad,RFID Apparel,1,101.77,101.77,Yes,5G,101.08,04-02-2023
TX000174,C4674,45-54,Female,Kolkata,AR Glasses,1,533.23,533.23,Yes,Bluetooth,308.39,23-12-2022
TX000175,C2789,25-34,Non-binary,Chennai,IoT Sneakers,1,208.44,208.44,Yes,WiFi,381.69,05-09-2024
TX000176,C2873,55+,Female,Bengaluru,IoT Sneakers,1,171.57,171.57,No,NA,345.47,07-05-2021
TX000177,C1833,45-54,Female,Lucknow,RFID Apparel,1,89.69,89.69,No,NA,210.3,30-07-2021
TX000178,C8359,18-24,Male,Lucknow,IoT Sneakers,1,184.89,184.89,No,NA,197.52,29-12-2024
TX000179,C7716,18-24,Prefer not to say,Lucknow,RFID Apparel,1,86.02,86.02,Yes,NFC,152.28,08-08-2023
TX000180,C3237,35-44,Female,Kolkata,IoT Sneakers,1,125.13,125.13,Yes,5G,157.75,06-07-2020
TX000181,C2397,45-54,Male,Kolkata,AR Glasses,1,409.78,409.78,Yes,WiFi,266.78,24-10-2022
TX000182,C6680,35-44,Prefer not to say,Delhi,Smartwatch,1,259.42,259.42,No,NA,410.9,02-01-2024
TX000183,C7948,18-24,Male,Mumbai,RFID Apparel,1,102.43,102.43,No,NA,280.53,07-08-2021
TX000184,C7063,35-44,Prefer not to say,Jaipur,AR Glasses,1,599.12,599.12,No,NA,483.24,18-03-2021
TX000185,C2778,25-34,Male,Lucknow,Smartwatch,1,287.61,287.61,No,NA,404.68,18-11-2021
TX000186,C8090,25-34,Non-binary,Bengaluru,RFID Apparel,1,66.55,66.55,No,NA,218.25,08-07-2020
TX000187,C5674,45-54,Male,Mumbai,Smartwatch,1,177.14,177.14,Yes,WiFi,208.31,09-06-2024
TX000188,C7694,25-34,Male,Lucknow,IoT Sneakers,1,215.46,215.46,No,NA,177.82,19-07-2024
TX000189,C7517,35-44,Non-binary,Bengaluru,Smart Jacket,1,342.46,342.46,No,NA,191.79,17-04-2020
TX000190,C1000,55+,Male,Bengaluru,AR Glasses,1,496.85,496.85,Yes,Bluetooth,280.19,29-05-2021
TX000191,C6499,55+,Male,Kolkata,AR Glasses,1,608.3,608.3,Yes,Bluetooth,144.99,16-04-2020
TX000192,C1028,45-54,Male,Lucknow,Smartwatch,1,191.55,191.55,Yes,NFC,125.62,03-10-2023
TX000193,C1647,25-34,Male,Delhi,IoT Sneakers,1,186.99,186.99,No,NA,282.97,09-01-2021
TX000194,C2342,35-44,Male,Delhi,Smartwatch,1,242.55,242.55,Yes,WiFi,202.64,29-06-2021
TX000195,C5006,45-54,Female,Chennai,Smartwatch,1,252.56,252.56,Yes,5G,301.77,31-12-2024
TX000196,C2677,18-24,Male,Bengaluru,IoT Sneakers,1,211.39,211.39,Yes,Bluetooth,252.87,20-07-2021
TX000197,C9802,35-44,Female,Lucknow,IoT Sneakers,1,192.29,192.29,No,NA,370.53,14-03-2024
TX000198,C4072,25-34,Non-binary,Jaipur,Smartwatch,1,294.26,294.26,Yes,5G,266.76,22-09-2021
TX000199,C2770,35-44,Male,Jaipur,Smartwatch,1,250.78,250.78,Yes,WiFi,275.22,18-07-2024
TX000200,C6719,18-24,Female,Pune,Smartwatch,1,287.92,287.92,Yes,WiFi,283.53,16-07-2020
TX000201,C8543,55+,Male,Bengaluru,IoT Sneakers,1,217.86,217.86,No,NA,143.87,26-03-2023
TX000202,C7115,35-44,Prefer not to say,Bengaluru,RFID Apparel,1,90.06,90.06,No,NA,123.52,02-04-2021
TX000203,C6364,25-34,Male,Bengaluru,Smart Jacket,1,352.95,352.95,Yes,5G,314.94,23-03-2024
TX000204,C5439,45-54,Male,Hyderabad,Smart Jacket,1,262.47,262.47,No,NA,451.64,01-12-2022
TX000205,C1045,18-24,Female,Hyderabad,IoT Sneakers,1,193.93,193.93,No,NA,162.44,15-02-2020
TX000206,C5640,18-24,Female,Lucknow,RFID Apparel,1,82.2,82.2,No,NA,175.9,19-05-2023
TX000207,C4812,45-54,Prefer not to say,Chennai,Smart Jacket,1,276.82,276.82,No,NA,354.76,18-02-2020
TX000208,C5569,35-44,Female,Jaipur,AR Glasses,1,421.41,421.41,No,NA,436.89,24-02-2020
TX000209,C2059,45-54,Female,Bengaluru,Smartwatch,1,167.8,167.8,No,NA,152.25,09-10-2020
TX000210,C6314,18-24,Female,Jaipur,Smart Hat,1,82.08,82.08,Yes,WiFi,465.57,28-03-2023
TX000211,C1103,45-54,Female,Lucknow,Smart Jacket,1,313.63,313.63,Yes,5G,250.68,09-03-2025
TX000212,C2192,25-34,Prefer not to say,Jaipur,Smart Jacket,1,466.71,466.71,Yes,NFC,369.37,23-06-2025
TX000213,C6383,45-54,Male,Jaipur,Smart Jacket,1,269.14,269.14,Yes,WiFi,433.9,02-05-2024
TX000214,C9225,35-44,Non-binary,Bengaluru,Smart Jacket,1,417.78,417.78,No,NA,124.47,17-04-2022
TX000215,C9048,45-54,Female,Ahmedabad,Smartwatch,1,309.59,309.59,Yes,Bluetooth,348.64,03-06-2025
TX000216,C6654,55+,Non-binary,Ahmedabad,AR Glasses,1,619.78,619.78,Yes,WiFi,199.7,23-10-2021
TX000217,C1142,25-34,Male,Ahmedabad,IoT Sneakers,1,179.52,179.52,No,NA,427.76,19-04-2022
TX000218,C8486,35-44,Male,Lucknow,RFID Apparel,1,94.11,94.11,Yes,5G,75.23,03-08-2023
TX000219,C3356,25-34,Prefer not to say,Jaipur,Smartwatch,1,200.65,200.65,No,NA,466.2,21-10-2023
TX000220,C7579,18-24,Prefer not to say,Hyderabad,Smartwatch,1,167.11,167.11,No,NA,251.81,15-03-2021
TX000221,C8001,25-34,Prefer not to say,Jaipur,IoT Sneakers,1,173.86,173.86,No,NA,406.91,09-08-2023
TX000222,C4915,35-44,Female,Mumbai,IoT Sneakers,1,177.52,177.52,Yes,5G,324.79,02-07-2024
TX000223,C1313,25-34,Male,Chennai,AR Glasses,1,536.31,536.31,Yes,WiFi,391.62,26-07-2022
TX000224,C6277,25-34,Male,Kolkata,Smartwatch,1,199.98,199.98,No,NA,346.94,13-09-2023
TX000225,C2566,55+,Female,Delhi,RFID Apparel,1,96.12,96.12,Yes,NFC,114.37,26-08-2022
TX000226,C8491,45-54,Prefer not to say,Lucknow,Smart Jacket,1,267.12,267.12,Yes,NFC,460.02,26-09-2023
TX000227,C7364,45-54,Male,Hyderabad,Smartwatch,1,162.6,162.6,Yes,Bluetooth,157.78,26-01-2023
TX000228,C6012,18-24,Female,Delhi,Smartwatch,1,289.45,289.45,No,NA,314.91,05-07-2023
TX000229,C4497,55+,Female,Hyderabad,RFID Apparel,1,112.94,112.94,Yes,5G,224.65,28-12-2024
TX000230,C3862,25-34,Female,Pune,Smartwatch,1,175.71,175.71,Yes,Bluetooth,288.8,16-03-2024
TX000231,C6854,25-34,Non-binary,Ahmedabad,Smart Jacket,1,431.66,431.66,Yes,5G,313.89,08-01-2024
TX000232,C4771,35-44,Male,Jaipur,AR Glasses,1,614.68,614.68,No,NA,264.94,17-04-2021
TX000233,C8641,35-44,Female,Ahmedabad,Smartwatch,1,243.29,243.29,No,NA,363.4,09-08-2023
